Sr,CaseType,CaseNo,CaseYear,CaseLabel,BillingStatus,AllotmentDate,NumAppearances
1,WP,1069,2021,WP/1069/2021,DISPOSED,22-02-2024,2
2,WP,13061,2022,WP/13061/2022,ONGOING,22-02-2024,1
3,WP,5486,2017,WP/5486/2017,DISPOSED,22-02-2024,2
4,WP,8246,2023,WP/8246/2023,DISPOSED,22-02-2024,3
5,WP,8247,2023,WP/8247/2023,DISPOSED,22-02-2024,3
6,WP,12039,2019,WP/12039/2019,DISPOSED,23-02-2024,3
7,WP,2189,2024,WP/2189/2024,DISPOSED,23-02-2024,1
8,WP,8786,2021,WP/8786/2021,ONGOING,23-02-2024,11
9,WP,10463,2022,WP/10463/2022,ONGOING,26-02-2024,2
10,WP,16761,2023,WP/16761/2023,ONGOING,26-02-2024,1
11,WP,9495,2023,WP/9495/2023,ONGOING,26-02-2024,4
12,WP,1041,2011,WP/1041/2011,ONGOING,27-02-2024,1
13,WP,13122,2023,WP/13122/2023,ONGOING,27-02-2024,3
14,WP,6755,2023,WP/6755/2023,ONGOING,27-02-2024,3
15,WP,2640,2024,WP/2640/2024,ONGOING,28-02-2024,4
16,WP,599,2023,WP/599/2023,ONGOING,28-02-2024,2
17,WP,2663,2024,WP/2663/2024,DISPOSED,29-02-2024,1
18,WP,3272,2023,WP/3272/2023,ONGOING,29-02-2024,1
19,WP,4853,2015,WP/4853/2015,ONGOING,29-02-2024,3
20,WP,1289,2024,WP/1289/2024,DISPOSED,01-03-2024,1
21,WP,15653,2023,WP/15653/2023,ONGOING,01-03-2024,8
22,WP,7456,2012,"WP/7456/2012
WITH CAW/1031/2014",ONGOING,01-03-2024,1
23,WP,12104,2019,WP/12104/2019,DISPOSED,04-03-2024,1
24,WP,12120,2019,WP/12120/2019,DISPOSED,04-03-2024,1
25,WP,2877,2024,WP/2877/2024,ONGOING,04-03-2024,6
26,WP,8994,2017,WP/8994/2017,ONGOING,04-03-2024,1
27,WP,948,2017,WP/948/2017,ONGOING,04-03-2024,6
28,WP,9496,2022,WP/9496/2022,ONGOING,04-03-2024,2
29,CP,163,2024,CP/163/2024,ONGOING,05-03-2024,6
30,WP,1414,2024,WP/1414/2024,DISPOSED,05-03-2024,1
31,CP,156,2024,CP/156/2024,DISPOSED,06-03-2024,3
32,CP,157,2024,CP/157/2024,ONGOING,06-03-2024,1
33,CP,158,2024,CP/158/2024,DISPOSED,06-03-2024,3
34,CP,159,2024,CP/159/2024,ONGOING,06-03-2024,1
35,WP(ST),14246,2017,WP(ST)/14246/2017,ONGOING,06-03-2024,2
36,WP(ST),17854,2017,WP(ST)/17854/2017,ONGOING,06-03-2024,2
37,WP(ST),21363,2017,"WP(ST)/21363/2017
WITH CAW/1169/2018",ONGOING,06-03-2024,1
38,WP,2107,2024,WP/2107/2024,ONGOING,06-03-2024,4
39,WP,2445,2022,WP/2445/2022,DISPOSED,06-03-2024,1
40,WP,3510,2015,WP/3510/2015,DISPOSED,06-03-2024,1
41,WP,9597,2015,WP/9597/2015,ONGOING,06-03-2024,1
42,WP,3050,2024,WP/3050/2024,ONGOING,07-03-2024,3
43,WP,7552,2022,"WP/7552/2022
WITH IA/6348/2024
WITH WP/7553/2022
WITH IA/6347/2024",ONGOING,07-03-2024,1
44,WP,5299,2023,WP/5299/2023,ONGOING,08-03-2024,1
45,WP,2589,2021,WP/2589/2021,ONGOING,11-03-2024,1
46,WP,3376,2024,WP/3376/2024,DISPOSED,11-03-2024,1
47,WP,3471,2023,"WP/3471/2023
WITH WP/11781/2023",ONGOING,11-03-2024,1
48,WP,7072,2022,WP/7072/2022,ONGOING,11-03-2024,1
49,IA,3763,2022,"IA/3763/2022
IN WP/7168/2022",DISPOSED,12-03-2024,1
50,WP,1366,2015,WP/1366/2015,DISPOSED,12-03-2024,1
51,WP,6386,2018,WP/6386/2018,DISPOSED,12-03-2024,4
52,WP,7851,2023,WP/7851/2023,ONGOING,12-03-2024,15
53,WP,8628,2023,"WP/8628/2023
WITH IA/2208/2024
WITH IA/2207/2024",ONGOING,12-03-2024,1
54,IA,17325,2023,"IA/17325/2023
IN WP/12127/2019",ONGOING,13-03-2024,1
55,WP(ST),12789,2017,"WP(ST)/12789/2017
WITH CAW/1167/2018
WITH CAW/1353/2018",ONGOING,13-03-2024,1
56,WP(ST),21363,2017,WP(ST)/21363/2017,ONGOING,13-03-2024,1
57,WP,13141,2023,WP/13141/2023,DISPOSED,13-03-2024,4
58,WP,16547,2023,WP/16547/2023,ONGOING,13-03-2024,5
59,WP,4956,2021,WP/4956/2021,DISPOSED,13-03-2024,1
60,WP,4980,2023,WP/4980/2023,DISPOSED,13-03-2024,1
61,WP,15147,2022,WP/15147/2022,ONGOING,14-03-2024,1
62,WP,4997,2023,WP/4997/2023,DISPOSED,14-03-2024,1
63,WP,775,2024,"WP/775/2024
WITH WP/795/2024",ONGOING,18-03-2024,1
64,CP,215,2024,CP/215/2024,ONGOING,19-03-2024,4
65,WP,1182,2024,"WP/1182/2024
WITH WP/155/2024
WITH WP/1493/2024",ONGOING,19-03-2024,1
66,WP,4517,2019,WP/4517/2019,ONGOING,19-03-2024,4
67,RPW,42,2023,RPW/42/2023,ONGOING,20-03-2024,1
68,WP,15587,2022,WP/15587/2022,ONGOING,20-03-2024,2
69,WP,4968,2022,WP/4968/2022,ONGOING,20-03-2024,2
70,RPW,42,2023,RPW/42/2023 with IA /4474/2023,DISPOSED,22-03-2024,1
71,WP,15633,2023,WP/15633/2023,ONGOING,22-03-2024,3
72,WP,1746,2022,WP/1746/2022,ONGOING,22-03-2024,10
73,WP,2274,2021,WP/2274/2021,ONGOING,22-03-2024,1
74,WP,5200,2019,WP/5200/2019,ONGOING,22-03-2024,1
75,WP,5327,2019,WP/5327/2019,ONGOING,22-03-2024,1
76,IA,6345,2024,"IA/6345/2024
IN WP/8069/2021",ONGOING,26-03-2024,1
77,WP,1690,2023,WP/1690/2023,ONGOING,26-03-2024,4
78,WP,4156,2024,WP/4156/2024,DISPOSED,26-03-2024,1
79,IA,17325,2023,"IA/17325/2023
WITH WP/12127/2019",ONGOING,27-03-2024,1
80,WP,3663,2023,WP/3663/2023,ONGOING,27-03-2024,1
81,WP,4228,2024,WP/4228/2024,ONGOING,27-03-2024,6
82,WP,1068,2024,WP/1068/2024,ONGOING,28-03-2024,7
83,WP,1245,2024,WP/1245/2024,ONGOING,28-03-2024,6
84,WP,16021,2023,WP/16021/2023,DISPOSED,28-03-2024,1
85,WP,4302,2024,WP/4302/2024,ONGOING,28-03-2024,1
86,WP,4718,2021,WP/4718/2021,ONGOING,28-03-2024,2
87,WP,10894,2022,WP/10894/2022,ONGOING,01-04-2024,4
88,WP,10060,2016,WP/10060/2016,ONGOING,02-04-2024,1
89,WP,10069,2016,WP/10069/2016,ONGOING,02-04-2024,1
90,WP,1375,2016,WP/1375/2016,ONGOING,02-04-2024,3
91,WP,4718,2024,WP/4718/2024,DISPOSED,02-04-2024,1
92,WP,12066,2016,WP/12066/2016,DISPOSED,03-04-2024,1
93,CP,228,2024,CP/228/2024,ONGOING,04-04-2024,2
94,WP,13914,2016,WP/13914/2016,ONGOING,04-04-2024,1
95,WP,7999,2015,WP/7999/2015,ONGOING,04-04-2024,1
96,IA,468,2023,IA/468/2023,ONGOING,05-04-2024,2
97,WP,12494,2022,WP/12494/2022,ONGOING,05-04-2024,1
98,WP,1300,2017,WP/1300/2017,ONGOING,05-04-2024,1
99,WP,3632,2024,WP/3632/2024,ONGOING,05-04-2024,1
100,WP,4755,2018,WP/4755/2018,DISPOSED,05-04-2024,1
101,WP,586,2017,WP/586/2017,ONGOING,05-04-2024,3
102,WP,854,2017,WP/854/2017,ONGOING,05-04-2024,3
103,CP,148,2024,CP/148/2024,DISPOSED,08-04-2024,2
104,WP,10596,2023,WP/10596/2023,ONGOING,08-04-2024,1
105,WP,11393,2022,WP/11393/2022,ONGOING,08-04-2024,2
106,WP,11707,2023,WP/11707/2023,ONGOING,08-04-2024,1
107,WP,11728,2022,WP/11728/2022,ONGOING,08-04-2024,5
108,WP,12140,2019,WP/12140/2019,ONGOING,08-04-2024,4
109,WP,12372,2015,WP/12372/2015,ONGOING,08-04-2024,4
110,WP,12411,2023,WP/12411/2023,ONGOING,08-04-2024,2
111,WP,2063,2017,WP/2063/2017,ONGOING,08-04-2024,1
112,WP,236,2006,WP/236/2006,ONGOING,08-04-2024,4
113,WP,2474,2024,WP/2474/2024,ONGOING,08-04-2024,2
114,WP,4787,2005,WP/4787/2005,ONGOING,08-04-2024,4
115,WP,533,2024,WP/533/2024,ONGOING,08-04-2024,1
116,WP,689,2023,WP/689/2023,ONGOING,08-04-2024,1
117,WP,7071,2004,WP/7071/2004,ONGOING,08-04-2024,4
118,WP,7094,2005,WP/7094/2005,ONGOING,08-04-2024,4
119,WP,7339,2006,WP/7339/2006,ONGOING,08-04-2024,4
120,WP,7780,2022,WP/7780/2022,ONGOING,08-04-2024,1
121,WP,9708,2022,WP/9708/2022,DISPOSED,08-04-2024,2
122,WP,12435,2023,WP/12435/2023,ONGOING,10-04-2024,9
123,WP,14471,2023,WP/14471/2023,ONGOING,10-04-2024,1
124,WP,14898,2022,WP/14898/2022,ONGOING,10-04-2024,1
125,WP,15996,2022,WP/15996/2022,ONGOING,10-04-2024,1
126,WP,2689,2017,WP/2689/2017,ONGOING,10-04-2024,1
127,WP,2841,2017,WP/2841/2017,ONGOING,10-04-2024,1
128,WP,2953,2024,WP/2953/2024,ONGOING,10-04-2024,1
129,WP,11651,2023,WP/11651/2023,ONGOING,12-04-2024,1
130,WP,4088,2024,WP/4088/2024,DISPOSED,12-04-2024,1
131,WP,10460,2023,WP/10460/2023,ONGOING,15-04-2024,1
132,WP,252,2022,WP/252/2022,ONGOING,15-04-2024,1
133,WP,6470,2023,WP/6470/2023,ONGOING,15-04-2024,4
134,IA,6897,2024,IA/6897/2024,ONGOING,16-04-2024,1
135,WP,14863,2022,WP/14863/2022,ONGOING,17-04-2024,1
136,WP,3786,2024,WP/3786/2024,DISPOSED,17-04-2024,1
137,WP,5618,2024,WP/5618/2024,ONGOING,17-04-2024,1
138,CP,236,2018,CP/236/2018,ONGOING,18-04-2024,1
139,CP,363,2018,CP/363/2018,ONGOING,18-04-2024,1
140,WP,10114,2023,WP/10114/2023,ONGOING,18-04-2024,1
141,WP,2360,2023,WP/2360/2023,ONGOING,18-04-2024,8
142,PIL,79,2014,PIL/79/2014,ONGOING,19-04-2024,7
143,WP,8069,2021,WP/8069/2021,ONGOING,19-04-2024,5
144,WP,1135,2022,WP/1135/2022,DISPOSED,22-04-2024,1
145,WP,11723,2023,WP/11723/2023,DISPOSED,22-04-2024,1
146,WP,2238,2023,WP/2238/2023,ONGOING,22-04-2024,1
147,WP,6241,2022,WP/6241/2022,ONGOING,22-04-2024,3
148,WP,1084,2023,WP/1084/2023,ONGOING,23-04-2024,1
149,WP,4151,2018,WP/4151/2018,ONGOING,23-04-2024,1
150,WP,5652,2024,WP/5652/2024,ONGOING,23-04-2024,1
151,WP,1203,2018,WP/1203/2018,ONGOING,24-04-2024,1
152,WP,4487,2018,WP/4487/2018,ONGOING,24-04-2024,1
153,WP,7444,2022,WP/7444/2022,DISPOSED,24-04-2024,4
154,WP,10950,2022,WP/10950/2022,ONGOING,25-04-2024,1
155,WP,12968,2023,WP/12968/2023,ONGOING,25-04-2024,1
156,WP,5945,2024,WP/5945/2024,ONGOING,25-04-2024,14
157,WP,5957,2024,WP/5957/2024,ONGOING,25-04-2024,7
158,CP,259,2024,CP/259/2024,ONGOING,26-04-2024,2
159,CP,260,2024,CP/260/2024,DISPOSED,26-04-2024,2
160,CP,262,2024,CP/262/2024,ONGOING,26-04-2024,1
161,CP,404,2023,CP/404/2023,ONGOING,26-04-2024,3
162,WP,174,2024,WP/174/2024,ONGOING,26-04-2024,1
163,WP,422,2024,WP/422/2024,DISPOSED,26-04-2024,5
164,WP,15298,2023,WP/15298/2023,ONGOING,29-04-2024,1
165,WP,15714,2023,WP/15714/2023,ONGOING,29-04-2024,4
166,WP,16324,2023,WP/16324/2023,DISPOSED,29-04-2024,1
167,WP,3643,2016,WP/3643/2016,DISPOSED,29-04-2024,1
168,WP,8893,2023,WP/8893/2023,ONGOING,29-04-2024,2
169,WP,10423,2018,WP/10423/2018,ONGOING,30-04-2024,1
170,WP,12725,2023,WP/12725/2023,ONGOING,30-04-2024,1
171,WP,3214,2019,WP/3214/2019,ONGOING,30-04-2024,1
172,WP,5367,2022,WP/5367/2022,ONGOING,30-04-2024,3
173,WP(ST),26277,2019,WP(ST)/26277/2019,DISPOSED,30-04-2024,2
174,WP,10471,2023,WP/10471/2023,ONGOING,02-05-2024,1
175,WP,6258,2024,WP/6258/2024,DISPOSED,02-05-2024,1
176,CP,392,2019,CP/392/2019,ONGOING,03-05-2024,1
177,IA,14532,2023,IA/14532/2023,DISPOSED,03-05-2024,1
178,WP,6452,2024,WP/6452/2024,ONGOING,03-05-2024,2
179,WP,3640,2020,WP/3640/2020,ONGOING,06-05-2024,6
180,WP,12074,2023,WP/12074/2023,ONGOING,06-05-2024,6
181,WP,1555,2024,WP/1555/2024,ONGOING,06-05-2024,1
182,WP,15652,2023,WP/15652/2023,ONGOING,06-05-2024,1
183,WP,1590,2004,WP/1590/2004,ONGOING,06-05-2024,8
